Cryptocurrency	Summary	Seriousness (1-5)	Rationale	Launched	Market Cap	Left vs. Right (1-100)
XLM	Token of Stellar network enabling fast, low-cost international transfers.	3	Early cross-border payments protocol, but lagging behind newer solutions.	2014	$3.5 billion	50
XRP	Utilized by Ripple Labs to facilitate international financial transfers.	4	Established player in cross-border payments; still facing legal overhang.	2012	$29 billion	50
ZRO	Token of LayerZero, a cross-chain messaging protocol.	4	High-potential infrastructure layer with growing ecosystem traction.	2024	$260 million	50
AIXBT	AI-driven crypto market intelligence platform analyzing trends on X (Twitter).	4	Rapid user growth and innovative functionality, though early-stage.	2024	$36.5 million	60
BERA	Berachain is an EVM-compatible L1 using Proof of Liquidity consensus.	4	Novel consensus and strong dev interest, still in early growth phase.	2024	$380 million	65
BMT 	Token of Bubblemaps, a visual blockchain data analytics platform.	3	Promising tool, but token volatility and low liquidity present risks.	2024	$33.5 million	55
CHILLGUY	Meme coin on Solana inspired by a relaxed cartoon character.	2	Pure meme value, driven by community sentiment and virality.	2024	$22 million	30
ELX 	Protocol bringing real-world assets (RWAs) to DeFi with validator security.	4	Addresses meaningful DeFi-RWA gap, needs more adoption validation.	2024	$25 million	65
FARTCOIN	Solana-based meme coin gaining attention for humor and virality.	1	High community activity, no intrinsic value or utility.	2024	$551,6 million	30
GOAT	Solana memecoin promoted by AI bots; rapid early growth.	2	Heavily driven by hype and virality; no clear intrinsic utility.	2024	$800 million	40
GRASS 	AI-powered blockchain project for decentralized data sharing.	3	Innovative in AI/data sharing, but early-stage and under-validated.	2023	$420 million	60
HYPE	Native token of HyperLiquid DEX and execution engine HyperEVM.	4	Strong momentum and user growth; product is technically solid.	2024	$4.46 billion	70
IP	Story Protocol's token for tokenized intellectual property on-chain.	4	Strong concept with real-world application; ambitious but early.	2025	$456 million	65
KAITO	AI-powered Web3 platform enhancing content creation and search.	3	AI + crypto angle is promising, but adoption remains limited.	2025	$218 million	55
LAYER	Solana-native restaking protocol extending smart contract coverage.	3	Restaking narrative is strong, but still unproven at scale.	2025	$291 million	55
MELANIA	Memecoin linked to Melania Trump, no stated utility.	2	Celebrity-driven memecoin with speculative intent.	2025	$460 million	30
MOODENG	Solana-based memecoin inspired by viral humor.	2	Pure meme token; driven by trend and community.	2024	$26.5 million	40
MOVE	Multi-asset staking crypto project recently listed on Binance.	3	Recent CEX listing shows traction, but early days.	2024	$780 million	55
NEIRO	Charity-linked token with community donation model.	3	Positive mission but limited technical or adoption data.	2024	$333 million	60
NIL	Privacy-preserving data layer using blind computation.	4	Backed by serious cryptography, selected for Launchpool.	2025	$78 million	70
OM	Layer-1 DeFi and RWA platform with regulatory compliance.	4	Bridges RWA and DeFi with institutional potential.	2024	$6 billion	65
PENGU	Token of Pudgy Penguins NFT brand to expand Solana ecosystem.	3	Strong brand identity, but speculative and ecosystem-dependent.	2024	$250 million	50
PLUME	RWA-focused EVM chain offering tokenization and compliance stack.	3	Strong value proposition for RWA; adoption data still early.	2025	$330 million	55
PNUT	Memecoin named after euthanized squirrel; driven by outrage online.	2	Community-powered meme; lacks technical or product merit.	2024	$131 million	40
POPCAT	Solana-based memecoin inspired by the viral Popcat meme.	2	Purely trend-based; lacks sustainable utility or roadmap.	2023	$133 million	35
RED	Entertainment token rooted in Japanese gaming culture expansion.	3	Clear narrative but limited evidence of traction or tech.	2025	$100 million	50
SCR	Layer 2 Ethereum scaling solution aiming to cut costs and boost speed.	4	Addresses real problem in Ethereum ecosystem; solid tech.	2024	$47 million	65
TST	BNB Smart Chain token with limited visibility and use case.	2	Generic name and unclear purpose; lacks credibility.	2025	$70 million	30
USUAL	Decentralized fiat stablecoin issuer focusing on governance and equity.	4	Clear mission with institutional ambitions; still early.	2024	$101 million	65
VINE 	Memecoin on Solana themed around grapevine aesthetics and culture.	2	Minimal utility, mostly community-driven and meme-fueled.	2024	$28 million	40
VIRTUAL	Token linked to digital identity/metaverse play, with little clear info.	2	Conceptually interesting but little concrete product detail available.	2024	$303 million	45
VVV	VVV is a low-cap token with unclear goals, often grouped with meme-like assets.	1	Extremely speculative and opaque project.	2025	$12 million	25
WAL	Community memecoin launched with stealth marketing and humorous branding.	2	No real value proposition beyond community hype.	2024	$538 million	35
